Order ID,Date,Product,Category,Region,Units,Unit Price
ORD-1001,2026-01-05,Laptop,Computers,North,3,899.00
ORD-1002,2026-01-08,Wireless Mouse,Accessories,South,25,19.99
ORD-1003,2026-01-12,Monitor,Displays,East,6,229.50
ORD-1004,2026-01-15,Mechanical Keyboard,Accessories,West,12,74.99
ORD-1005,2026-01-19,Office Chair,Furniture,North,8,149.00
ORD-1006,2026-01-23,Webcam,Accessories,East,15,49.90
ORD-1007,2026-01-27,Laptop,Computers,West,4,899.00
ORD-1008,2026-02-02,USB-C Hub,Accessories,South,30,34.50
ORD-1009,2026-02-06,Monitor,Displays,North,5,229.50
ORD-1010,2026-02-10,Desk Lamp,Furniture,East,20,24.99
ORD-1011,2026-02-13,Headset,Accessories,West,18,59.00
ORD-1012,2026-02-17,Laptop,Computers,South,2,899.00
ORD-1013,2026-02-20,Office Chair,Furniture,West,10,149.00
ORD-1014,2026-02-24,Wireless Mouse,Accessories,North,40,19.99
ORD-1015,2026-02-27,Monitor,Displays,South,7,229.50
ORD-1016,2026-03-03,Mechanical Keyboard,Accessories,East,14,74.99
ORD-1017,2026-03-06,Laptop,Computers,East,5,899.00
ORD-1018,2026-03-10,Webcam,Accessories,North,22,49.90
ORD-1019,2026-03-13,Desk Lamp,Furniture,South,26,24.99
ORD-1020,2026-03-17,Headset,Accessories,North,16,59.00
ORD-1021,2026-03-20,USB-C Hub,Accessories,West,28,34.50
ORD-1022,2026-03-24,Monitor,Displays,West,4,229.50
ORD-1023,2026-03-27,Office Chair,Furniture,East,9,149.00
ORD-1024,2026-03-31,Laptop,Computers,North,6,899.00
